"Reference","Value","Footprint","Qty","DNP"
"C1,C4,C7,C9","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","4",""
"C2,C5,C8,C10","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","4",""
"C3,C6","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","2","DNP (不作装配)"
"H1","~","MountingHole:MountingHole_3mm_Pad","1",""
"LED1","红灯","PCM_LED_THT_AKL:LED_D3.0mm","1",""
"LED2","绿灯","PCM_LED_THT_AKL:LED_D3.0mm","1",""
"P1,P2","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","2",""
"R1","1.2KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2,R5","10KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"U1","TP4056_ESOP-8","PCM_Package_SO_AKL:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias2","1",""
"U2","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
