"Reference","Value","Footprint","Qty","DNP","Manufacturer Part","Supplier Part"
"C1,C3,C10","10nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3","","",""
"C2,C11,C12","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3","","",""
"C5,C6,C9","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3","","",""
"H1,H3","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","","C2937625"
"H2","~","MountingHole:MountingHole_3mm_Pad","1","","",""
"PR1,PR2","10KΩ","PCM_Potentiometer_THT_AKL:Potentiometer_Bourns_3296W_Vertical","2","","RM065-203(20K)","C5205022"
"R1,R8","1MΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"R2","3.3KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R3","2MΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R4","33KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R5","1KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R6,R7","47KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"R9","R_Photo","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","1","","GL5506（4-7K）","C11299"
"S1","D203S_TO-5-3","Package_TO_SOT_THT:TO-5-3","1","","D203S","C78793"
"U1","BISS0001_SOP-16","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","1","","BISS0001","C115919"
