"Reference","Value","Footprint","Qty","DNP","Manufacturer Part","Supplier Part"
"C1,C2","22uF/X7R","jlc_library:C1206","2","","",""
"C3,C5,C10","100nF/X7R","jlc_library:C0805","3","","",""
"C4","2.7nF/X7R","jlc_library:C0805","1","","",""
"C6,C7,C8,C9,C11,C12,C15,C16,C17","22uF/X7R","jlc_library:C0805","9","","",""
"C13,C18","100nF","jlc_library:C0603","2","","",""
"C14","22nF","jlc_library:C0603","1","","",""
"H1,H2,H3","~","jlc_library:HDR-TH_6P-P2.54-V-F-R2-C3-S2.54","3","","","C92272"
"L1","15uH","jlc_library:IND-SMD_L10.8-W10.0_SLO1040H","1","","SLO1040H150MTT","C182184"
"L2","15uH","jlc_library:IND-SMD_L11.5-W10.0_FXL1040","1","","FXL1040-150-M","C475916"
"R1","47kΩ","jlc_library:R0805","1","","",""
"R2","100kΩ","jlc_library:R0805","1","","",""
"R3","137kΩ","jlc_library:R0805","1","","",""
"R4","70kΩ 1%","jlc_library:R0805","1","","",""
"R5","5kΩ 1%","jlc_library:R0805","1","","",""
"R6","NC","jlc_library:R0603","1","","",""
"R7","100KΩ","jlc_library:R0603","1","","",""
"R8","147kΩ 1%","jlc_library:R0603","1","","",""
"R9","20kΩ 1%","jlc_library:R0603","1","","",""
"U1","~","jlc_library:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0","1","","RT7272BGSP","C127866"
"U2","~","jlc_library:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1","","MT2492","C89358"
