"Reference","Value","Footprint","Qty","DNP","Manufacturer Part","Supplier Part"
"C1,C4","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","",""
"C2,C5","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","",""
"C3,C6","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","DNP (不作装配)","",""
"H1","~","MountingHole:MountingHole_3mm_Pad","1","","",""
"LED1","红灯","PCM_LED_THT_AKL:LED_D3.0mm","1","","",""
"LED2","绿灯","PCM_LED_THT_AKL:LED_D3.0mm","1","","",""
"P1","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1","","",""
"R1","1.2KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R2","2KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"R3,R4","5.1KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"R5","10KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","","",""
"U1","TP4056_ESOP-8","jlclib:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","1","","",""
"USB1","USB_C_Receptacle_PowerOnly_6P","","1","","",""
