No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,1,1uF,C15,C0603,1uF,CL10A105KO8NNNC,SAMSUNG(三星),C1592,LCSC
2,2,1uF,"C16,C43",R0402,1uF,CL05A105KP5NNNC,SAMSUNG(三星),C14445,LCSC
3,4,12pF,"C27,C28,C41,C42",R0402,12pF,0402CG120J500NT,FH(风华),C1547,LCSC
4,7,100nF,"C29,C30,C31,C32,C33,C35,C36",R0402,100nF,GRM155R71H104KE14D,muRata(村田),C77020,LCSC
5,1,100nF,C34,C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
6,1,HDR-M_2.54_1x4P,H1,HDR-TH_4P-P2.54-V-M,,,,C2935929,
7,2,HDR-M_2.54_1x20P,"H2,H5",HDR-TH_20P-P2.54-V-M-1,,,,C50981,
8,1,HDR-M_2.54_1x3P,H3,HDR-TH_3P-P2.54-V-M,,,,C2937625,
9,2,NCD0603R1,"LED1,LED2",LED0603-RD_RED,,NCD0603R1,国星光电,C84263,LCSC
10,1,AMS1117-3.3V,Q1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,,AMS1117-3.3V,MSKSEMI(美森科),C5120796,LCSC
11,2,5.1kΩ,"R8,R9",R0402,5.1kΩ,0402WGF5101TCE,UNI-ROYAL(厚声),C25905,LCSC
12,2,1kΩ,"R10,R11",R0402,1kΩ,0402WGF1001TCE,UNI-ROYAL(厚声),C11702,LCSC
13,2,10kΩ,"R12,R13",R0402,10kΩ,RC0402FR-0710KL,YAGEO(国巨),C60490,LCSC
14,1,0Ω,R14,R0805,0Ω,0805W8F0000T5E,UNI-ROYAL(厚声),C17477,LCSC
15,1,NC,R15,R0805,NC,0805W8F0000T5E,UNI-ROYAL(厚声),,LCSC
16,1,0Ω,R16,R0603,0Ω,0603WAF0000T5E,UNI-ROYAL(厚声),C21189,LCSC
17,1,TS-1101-B-W,SW1,KEY-SMD_2P-L6.0-W3.6-P7.4-LS8.0-L,,TS-1101-B-W,XKB Connectivity(中国星坤),C500065,LCSC
18,1,CW32F030C8T6,U4,LQFP-48_L7.0-W7.0-P0.50-LS9.0-TL,,CW32F030C8T6,CW(芯源),C3019113,LCSC
19,1,TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,LCSC
20,1,8MHz,X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,8MHz,XL2EL89COI-111YLC-8M,YXC(扬兴晶振),C2973805,LCSC
21,1,32.768kHz,X5,OSC-SMD_L3.2-W1.5,32.768kHz,X321532768KGD2SI,YXC(扬兴晶振),C620155,LCSC
,,,,,,,,,
