"Reference","Value","Footprint","Qty","DNP"
"BT1","Battery_Cell","jlclib:BAT-SMD_CR1220-2","1",""
"C1,C3","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C19,C20","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","14","-- 混合值 --"
"C15,C16,C17,C18","30pF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","4",""
"C22,C24","2.2uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"C23,C25,C26,C27,C28,C29,C30,C31,C32","100nF","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","9","DNP (不作装配)"
"C33,C34,C35,C36","30nF","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","4","DNP (不作装配)"
"F1","5V1A","Fuse:Fuse_1206_3216Metric","1",""
"J1","USB_C_Receptacle_USB2.0_16P","wsylib:USB_C_Receptacle_USB2.0_16P_Ping_in","1",""
"J2","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J3","Micro_SD_Card_Det1","wsylib:microSD_9pin","1",""
"J4,J5","Conn_02x21_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x21_P2.54mm_Vertical","2",""
"LED1","红","PCM_LED_THT_AKL:LED_D3.0mm","1",""
"LED2","绿","PCM_LED_THT_AKL:LED_D3.0mm","1",""
"R1,R5,R7,R8,R9,R10,R11,R12","10KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","8",""
"R2,R3","5.1KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R4","1.5KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R6","2KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R13,R14,R15,R16,R17,R18","47KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","6",""
"SW1,SW2,SW3","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","3",""
"U1","AZ1117IH-3.3TRE1","PCM_Package_TO_SOT_SMD_AKL:SOT-223-3_TabPin2","1",""
"U2","GD25Q32CTIG","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","1",""
"U3","GD32F103VET6","Package_QFP:LQFP-100_14x14mm_P0.5mm","1",""
"X1","8MHz_±20ppm_20pF_HC-49S","wsylib:Crystal_HC49-U-3Pin_Vertical_change","1",""
"X2","32.768kHz_±20ppm_12.5pF_DT-26","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style2","1",""
