"Reference","Value","Footprint","Qty"
"C1,C3","10uF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","2"
"C2,C6,C7","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","3"
"D1","1N4007","Diode_SMD:D_SMA","1"
"J1","PINHD_1x2_Female","Connector_PinSocket_2.00mm:PinSocket_1x02_P2.00mm_Vertical","1"
"J2","PINHD_1x3_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J3","PINHD_1x5_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1"
"J4","PINHD_1x2_Female","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1"
"Q1","AO3400A","PCM_Package_TO_SOT_SMD_AKL:SOT-23","1"
"R2,R3,R4,R5,R6","10K","PCM_Resistor_SMD_AKL:R_0805_2012Metric","5"
"SW1","SW_SPDT","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"U2","ESP-12F","RF_Module:ESP-12E","1"
